location,date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,weekly_icu_admissions_per_million,weekly_hosp_admissions_per_million,new_tests_smoothed_per_thousand,new_vaccinations_smoothed_per_million,hospital_beds_per_thousand
Albania,2020-02-25,0.0,0.0,23.775,94.658,,,0.0,0.0,2.89
Albania,2020-02-26,0.0,0.0,23.775,94.658,,,0.0,0.0,2.89
Albania,2020-02-27,0.0,0.0,23.775,94.658,,,0.0,0.0,2.89
Albania,2020-02-28,0.0,0.0,23.775,94.658,,,0.0,0.0,2.89
Albania,2020-02-29,0.0,0.0,23.775,94.658,,,0.0,0.0,2.89
Albania,2020-03-01,0.0,0.0,23.775,94.658,,,0.0,0.0,2.89
Albania,2020-03-02,0.0,0.0,23.775,94.658,,,0.0,0.0,2.89
Albania,2020-03-03,0.0,0.0,23.775,94.658,,,0.001,0.0,2.89
Albania,2020-03-04,0.0,0.0,23.775,94.658,,,0.001,0.0,2.89
Albania,2020-03-05,0.0,0.0,23.775,94.658,,,0.002,0.0,2.89
Albania,2020-03-06,0.0,0.0,23.775,94.658,,,0.002,0.0,2.89
Albania,2020-03-07,0.0,0.0,23.775,94.658,,,0.002,0.0,2.89
Albania,2020-03-08,0.0,0.0,23.775,94.658,,,0.001,0.0,2.89
Albania,2020-03-09,0.0,0.0,23.775,94.658,,,0.002,0.0,2.89
Albania,2020-03-10,0.0,0.0,23.775,94.658,,,0.004,0.0,2.89
Albania,2020-03-11,0.0,0.0,23.775,94.658,,,0.006,0.0,2.89
Albania,2020-03-12,0.0,0.0,23.775,94.658,,,0.012,0.0,2.89
Albania,2020-03-13,0.0,0.0,23.775,94.658,,,0.02,0.0,2.89
Albania,2020-03-14,1.89,0.05,23.775,94.658,,,0.022,0.0,2.89
Albania,2020-03-15,2.088,0.05,23.775,94.658,,,0.024,0.0,2.89
Albania,2020-03-16,2.437,0.05,23.775,94.658,,,0.024,0.0,2.89
